"cod.coleta","tribo.planta","gen.planta","sp.planta","ordem.inseto","fam.inseto","gen.inseto","sp.inseto"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares connexa"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares fluminensis"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Trupanea","Trupanea indet."
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Trupanea","Trupanea sp.10"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Trupanea","Trupanea sp.11"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura mallochi"
"PIC02172","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.21"
"PIC02173","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Pterophoridae","Adaina","Adaina bipunctata"
"PIC02174","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"PIC02174","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.16"
"PIC02175","Mutisieae","Gochnatia","Gochnatia pulchra","Lepidoptera","Pyralidae","Unadilla","Unadilla erronella"
"PIC02176","Vernonieae","Piptocarpha","Piptocarpha rotundifolia","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"PIC02176","Vernonieae","Piptocarpha","Piptocarpha rotundifolia","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.23"
"PIC02177","Vernonieae","Vernonanthura","Vernonanthura membranacea","Diptera","Tephritidae","Dictyotrypeta","Dictyotrypeta sp.06"
"PIC02177","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Geometridae","Eupithecia","Eupithecia sp.01"
"PIC02177","Vernonieae","Vernonanthura","Vernonanthura membranacea","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"PIC02177","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Gelechidae","Recurvaria","Recurvaria sp.01"
"PIC02178","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"PIC02178","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"PIC02179","Vernonieae","Lessingianthus","Lessingianthus bardanoides","Diptera","Tephritidae","Tomoplagia","Tomoplagia achromoptera"
"PIC02180","Mutisieae","Trixis","Trixis verbasciformis","Lepidoptera","Pterophoridae","Adaina","Adaina bipunctata"
"PIC02180","Mutisieae","Trixis","Trixis verbasciformis","Lepidoptera","Blastobasidae","Blastobasidae","Blastobasidae sp.01"
"PIC02180","Mutisieae","Trixis","Trixis verbasciformis","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"PIC02180","Mutisieae","Trixis","Trixis verbasciformis","Diptera","Tephritidae","Tomoplagia","Tomoplagia costalimai"
"PIC02180","Mutisieae","Trixis","Trixis verbasciformis","Lepidoptera","Pyralidae","Unadilla","Unadilla erronella"
"PIC02181","Eupatorieae","Campuloclinium","Campuloclinium chlorolepis","Lepidoptera","Blastobasidae","Blastobasidae","Blastobasidae sp.01"
"PIC02182","Gnaphalieae","Achyrocline","Achyrocline satureioides","Lepidoptera","Tortricidae","Cochylini","Cochylini sp.15"
"PIC02183","Eupatorieae","Chromolaena","Chromolaena pungens",,,,
"PIC02184","Vernonieae","Orthopappus","Orthopappus angustifolius",,,,
"PIC02185","Mutisieae","Gochnatia","Gochnatia barrosii",,,,
"PIC02186","Senecioneae","Erechtites","Erechtites hieraciifolius",,,,
"PIC02187","Mutisieae","Gochnatia","Gochnatia pulchra",,,,
"PIC02188","Plucheeae","Pterocaulon","Pterocaulon alopecuroides",,,,
"PIC02189","Vernonieae","Lessingianthus","Lessingianthus brevipetiolatus",,,,
"PIC02190","Eupatorieae","Chromolaena","Chromolaena squalida",,,,
"PIC02191","Heliantheae","Bidens","Bidens gardneri",,,,
"PIC02192","Helenieae","Porophyllum","Porophyllum ruderale","Lepidoptera","Tortricidae","Cochylis","Cochylis cf. sagittigera"
"PIC02192","Helenieae","Porophyllum","Porophyllum ruderale","Lepidoptera","Tortricidae","Phalonidia","Phalonidia unguifera"
"PIC02193","Heliantheae","Viguiera","Viguiera arenaria",,,,
